Date,Open,High,Low,Close,Adj Close,Volume
2012-05-07,24.090000,24.129999,23.950001,23.950001,23.950001,1800
2012-05-14,23.950001,24.469999,23.879999,24.320000,24.320000,64400
2012-05-21,24.490000,24.530001,23.480000,23.709999,23.709999,37800
2012-05-28,23.549999,23.790001,23.150000,23.320000,23.320000,9300
2012-06-04,23.990000,24.000000,23.280001,23.950001,23.950001,7900
2012-06-11,23.950001,23.950001,23.510000,23.510000,23.510000,1500
2012-06-18,23.870001,24.469999,23.760000,24.340000,24.340000,8600
2012-06-25,24.860001,25.590000,24.660000,25.590000,25.590000,3500
2012-07-02,25.740000,27.190001,25.740000,26.780001,26.780001,6600
2012-07-09,27.379999,28.160000,26.820000,27.209999,27.209999,10800
2012-07-16,27.209999,28.889999,27.209999,28.889999,28.889999,13400
2012-07-23,28.750000,28.750000,27.459999,28.020000,28.020000,16300
2012-07-30,28.020000,28.680000,27.500000,28.040001,28.040001,5100
2012-08-06,29.200001,29.200001,27.500000,28.020000,28.020000,4800
2012-08-13,27.459999,27.559999,27.270000,27.450001,27.450001,13400
2012-08-20,28.000000,28.400000,27.799999,27.910000,27.910000,4700
2012-08-27,27.990000,28.410000,27.920000,28.340000,28.340000,3700
2012-09-03,27.830000,28.090000,27.830000,28.090000,28.090000,1400
2012-09-10,28.620001,28.830000,27.969999,28.580000,28.580000,5800
2012-09-17,28.270000,28.270000,27.290001,27.450001,27.450001,13100
2012-09-24,27.250000,28.129999,26.700001,27.059999,27.059999,5600
2012-10-01,27.809999,27.809999,26.850000,27.270000,27.270000,2000
2012-10-08,26.990000,27.200001,26.990000,27.200001,27.200001,600
2012-10-15,27.200001,27.200001,27.010000,27.010000,27.010000,1000
2012-10-22,27.010000,27.129999,26.549999,27.070000,27.070000,500
2012-10-29,27.070000,27.070000,26.920000,26.920000,26.920000,200
2012-11-05,26.690001,26.770000,26.680000,26.770000,26.770000,900
2012-11-12,26.350000,26.350000,25.820000,25.820000,25.820000,300
2012-11-19,26.160000,26.160000,26.160000,26.160000,26.160000,400
2012-11-26,26.000000,26.639999,26.000000,26.639999,26.639999,13800
2012-12-03,26.639999,26.639999,26.500000,26.500000,26.500000,100
2012-12-10,26.500000,26.500000,26.180000,26.230000,26.230000,1300
2012-12-17,26.309999,26.309999,26.290001,26.290001,26.290001,400
2012-12-24,26.190001,26.190001,25.540001,25.540001,25.540001,2700
2012-12-31,25.440001,25.590000,25.440001,25.590000,25.590000,400
2013-01-07,25.590000,25.730000,24.920000,25.100000,25.100000,20900
2013-01-14,25.309999,25.480000,25.309999,25.480000,25.480000,10700
2013-01-21,25.480000,25.480000,25.150000,25.230000,25.230000,5500
2013-01-28,25.389999,25.620001,25.389999,25.580000,25.580000,2600
2013-02-04,25.500000,25.500000,25.000000,25.000000,25.000000,800
2013-02-11,24.790001,24.790001,24.450001,24.480000,24.480000,800
2013-02-18,24.459999,24.920000,24.459999,24.920000,24.920000,6200
2013-02-25,24.340000,24.400000,24.280001,24.320000,24.320000,1800
2013-03-04,24.309999,24.309999,24.309999,24.309999,24.309999,600
2013-03-11,24.340000,24.400000,24.280001,24.400000,24.400000,4100
2013-03-18,24.400000,24.400000,24.129999,24.139999,24.139999,1100
2013-03-25,24.139999,24.360001,19.090000,19.090000,19.090000,1000
2013-04-01,23.990000,24.150000,23.760000,23.760000,23.760000,2500
2013-04-08,23.920000,23.920000,23.799999,23.889999,23.889999,4600
2013-04-15,23.620001,23.910000,23.620001,23.820000,23.820000,3500
2013-04-22,23.709999,23.709999,23.610001,23.610001,23.610001,1200
2013-04-29,23.930000,24.100000,23.930000,24.100000,24.100000,300
2013-05-06,24.100000,24.100000,23.610001,23.670000,23.670000,6300
2013-05-13,23.170000,23.780001,23.170000,23.559999,23.559999,2700
2013-05-20,23.559999,23.730000,23.379999,23.730000,23.730000,500
2013-05-27,23.730000,23.910000,23.540001,23.889999,23.889999,5000
2013-06-03,23.889999,24.139999,23.400000,24.139999,24.139999,15100
2013-06-10,24.139999,24.139999,24.139999,24.139999,24.139999,0
2013-06-17,24.139999,24.139999,24.139999,24.139999,24.139999,0
2013-06-24,24.139999,24.139999,24.139999,24.139999,24.139999,0
2013-07-01,24.139999,24.139999,23.090000,23.240000,23.240000,1700
2013-07-08,23.240000,23.459999,23.200001,23.459999,23.459999,400
2013-07-15,22.650000,23.400000,22.650000,23.370001,23.370001,7800
2013-07-22,23.370001,23.370001,23.020000,23.030001,23.030001,4900
2013-07-29,23.030001,23.030001,22.740000,22.740000,22.740000,2900
2013-08-05,22.740000,23.670000,22.610001,22.820000,22.820000,400
2013-08-12,23.190001,23.350000,23.190001,23.350000,23.350000,1000
2013-08-19,23.350000,23.350000,23.350000,23.350000,23.350000,0
2013-08-26,23.350000,23.350000,23.350000,23.350000,23.350000,0
2013-09-02,23.350000,23.350000,23.350000,23.350000,23.350000,0
2013-09-09,23.350000,23.709999,23.000000,23.680000,23.680000,7000
2013-09-16,23.680000,23.680000,23.309999,23.330000,23.330000,20800
2013-09-23,23.330000,23.330000,23.330000,23.330000,23.330000,0
2013-09-30,23.330000,23.490000,23.330000,23.490000,23.490000,200
2013-10-07,23.490000,23.670000,23.490000,23.590000,23.590000,16200
2013-10-14,23.680000,23.790001,23.520000,23.530001,23.530001,56200
2013-10-21,24.000000,24.000000,23.480000,23.480000,23.480000,2600
2013-10-28,23.480000,23.480000,23.480000,23.480000,23.480000,0
2013-11-04,23.480000,23.480000,23.480000,23.480000,23.480000,0
2013-11-11,23.480000,23.480000,22.760000,22.760000,22.760000,400
2013-11-18,22.620001,22.670000,21.920000,22.650000,22.650000,1700
2013-11-25,22.650000,22.650000,22.650000,22.650000,22.650000,0
2013-12-02,22.650000,22.650000,22.650000,22.650000,22.650000,0
2013-12-09,22.650000,22.650000,22.480000,22.480000,22.480000,700
2013-12-16,22.480000,22.480000,22.440001,22.440001,22.440001,700
2013-12-23,22.440001,22.440001,22.440001,22.440001,22.440001,0
2013-12-30,22.350000,22.350000,22.250000,22.250000,22.250000,1700
2014-01-06,22.250000,22.250000,22.070000,22.070000,22.070000,1000
2014-01-13,22.070000,22.070000,22.070000,22.070000,22.070000,0
2014-01-20,22.070000,22.370001,22.070000,22.290001,22.290001,2500
2014-01-27,22.290001,22.290001,22.290001,22.290001,22.290001,0
2014-02-03,22.290001,23.110001,22.290001,22.920000,22.920000,900
2014-02-10,22.920000,23.160000,22.920000,23.040001,23.040001,400
2014-02-17,23.040001,23.990000,23.040001,23.840000,23.840000,200
2014-02-24,24.000000,26.000000,23.830000,24.320000,24.320000,3600
2014-03-03,24.450001,26.500000,24.450001,25.200001,25.200001,2900
2014-03-10,25.209999,26.850000,24.799999,25.870001,25.870001,7200
2014-03-17,26.250000,26.250000,25.570000,25.580000,25.580000,5700
2014-03-24,25.580000,25.580000,25.580000,25.580000,25.580000,0
2014-03-31,25.580000,26.000000,24.500000,25.719999,25.719999,3000
2014-04-07,26.020000,27.000000,26.020000,26.260000,26.260000,3000
2014-04-14,26.350000,26.350000,26.209999,26.309999,26.309999,3200
2014-04-21,26.160000,26.600000,26.100000,26.600000,26.600000,1200
2014-04-28,26.680000,26.920000,26.510000,26.700001,26.700001,5900
2014-05-05,26.590000,27.500000,26.440001,26.440001,26.440001,7800
2014-05-12,26.440001,26.500000,26.270000,26.500000,26.500000,2200
2014-05-19,26.500000,26.500000,26.000000,26.230000,26.230000,3100
2014-05-26,25.860001,25.920000,25.860001,25.920000,25.920000,2800
2014-06-02,25.920000,25.920000,25.340000,25.400000,25.400000,3400
2014-06-09,25.400000,25.610001,25.370001,25.400000,25.400000,2000
2014-06-16,25.120001,26.520000,25.120001,25.570000,25.570000,1700
2014-06-23,25.570000,25.620001,25.530001,25.620001,25.620001,1600
2014-06-30,25.620001,26.570000,24.740000,24.760000,24.760000,1800
2014-07-07,24.760000,25.709999,23.580000,23.580000,23.580000,800
2014-07-14,23.660000,23.790001,23.660000,23.790001,23.790001,3000
2014-07-21,23.790001,24.549999,22.549999,23.770000,23.770000,6100
2014-07-28,23.770000,24.549999,23.690001,24.549999,24.549999,2700
2014-08-04,23.809999,23.920000,23.629999,23.629999,23.629999,2900
2014-08-11,23.629999,23.629999,23.629999,23.629999,23.629999,0
2014-08-18,23.420000,23.420000,22.540001,23.240000,23.240000,5500
2014-08-25,24.530001,24.530001,24.530001,24.530001,24.530001,300
2014-09-01,24.530001,24.530001,23.410000,23.420000,23.420000,1400
2014-09-08,23.420000,23.420000,22.740000,22.740000,22.740000,200
2014-09-15,22.740000,22.760000,22.680000,22.750000,22.750000,400
2014-09-22,22.750000,23.000000,22.270000,22.490000,22.490000,19200
2014-09-29,22.299999,22.530001,21.840000,22.530001,22.530001,5800
2014-10-06,22.600000,22.860001,21.950001,22.850000,22.850000,2000
2014-10-13,22.850000,23.260000,22.850000,23.000000,23.000000,300
2014-10-20,22.530001,24.350000,22.180000,22.730000,22.730000,3100
2014-10-27,22.730000,22.840000,22.730000,22.840000,22.840000,100
2014-11-03,22.840000,22.840000,22.840000,22.840000,22.840000,0
2014-11-10,22.840000,24.850000,22.840000,23.250000,23.250000,2400
2014-11-17,21.930000,23.500000,21.930000,23.340000,23.340000,1200
2014-11-24,23.340000,23.340000,23.340000,23.340000,23.340000,0
2014-12-01,23.000000,23.000000,22.000000,22.959999,22.959999,7000
2014-12-08,22.959999,22.959999,22.500000,22.559999,22.559999,400
2014-12-15,22.530001,22.840000,21.879999,22.700001,22.700001,2200
2014-12-22,22.700001,23.100000,22.309999,22.459999,22.459999,2100
2014-12-29,22.459999,22.730000,22.000000,22.000000,22.000000,1200
2015-01-05,20.950001,22.520000,20.950001,22.139999,22.139999,200
2015-01-12,22.100000,22.100000,21.870001,22.010000,22.010000,600
2015-01-19,22.010000,22.010000,21.240000,21.240000,21.240000,200
2015-01-26,20.840000,21.549999,20.840000,20.850000,20.850000,34300
